year_month,review_count,average_rating
1995-08,3,4.33
1995-09,1,5.0
1995-10,1,5.0
1995-11,4,5.0
1996-05,14,4.93
1996-06,14,4.71
1996-07,22,4.77
1996-08,27,4.81
1996-09,24,4.67
1996-10,17,4.65
1996-11,30,4.73
1996-12,44,4.73
1997-01,67,4.61
1997-02,85,4.58
1997-03,97,4.39
1997-04,155,4.2
1997-05,83,4.35
1997-06,169,4.31
1997-07,183,4.34
1997-08,175,4.39
1997-09,121,4.16
1997-10,214,4.47
1997-11,201,4.34
1997-12,203,4.52
1998-01,294,4.31
1998-02,209,4.36
1998-03,302,4.46
1998-04,329,4.42
1998-05,604,4.59
1998-06,1103,4.53
1998-07,1276,4.47
1998-08,1170,4.34
1998-09,992,4.37
1998-10,1172,4.37
1998-11,1635,4.4
1998-12,2188,4.34
1999-01,2196,4.38
1999-02,2315,4.35
1999-03,2658,4.34
1999-04,2749,4.39
1999-05,2597,4.34
1999-06,3174,4.35
1999-07,2959,4.35
1999-08,2892,4.31
1999-09,2719,4.35
1999-10,3194,4.31
1999-11,3860,4.4
1999-12,7546,4.35
2000-01,7330,4.33
2000-02,6503,4.28
2000-03,7166,4.32
2000-04,7429,4.3
2000-05,7913,4.32
2000-06,7647,4.34
2000-07,6766,4.3
2000-08,6134,4.29
2000-09,4847,4.25
2000-10,6818,4.26
2000-11,5125,4.27
2000-12,5460,4.23
2001-01,5491,4.25
2001-02,4697,4.26
2001-03,5202,4.24
2001-04,4954,4.28
2001-05,6146,4.31
2001-06,6867,4.23
2001-07,6475,4.3
2001-08,6052,4.25
2001-09,4910,4.31
2001-10,5849,4.31
2001-11,6921,4.24
2001-12,6957,4.21
2002-01,7165,4.21
2002-02,5634,4.25
2002-03,6472,4.22
2002-04,5993,4.25
2002-05,6141,4.22
2002-06,6646,4.28
2002-07,7645,4.22
2002-08,6299,4.25
2002-09,5672,4.29
2002-10,6077,4.27
2002-11,6606,4.28
2002-12,7445,4.26
2003-01,7664,4.23
2003-02,6061,4.29
2003-03,6895,4.32
2003-04,7462,4.23
2003-05,6881,4.23
2003-06,7438,4.27
2003-07,7508,4.24
2003-08,6351,4.21
2003-09,6894,4.2
2003-10,7526,4.13
2003-11,10236,4.12
2003-12,9253,4.13
2004-01,9128,4.12
2004-02,8646,4.06
2004-03,8009,4.02
2004-04,8253,4.06
2004-05,7821,4.08
2004-06,7819,4.1
2004-07,7444,4.05
2004-08,6542,4.13
2004-09,6589,4.12
2004-10,6629,4.13
2004-11,7194,4.18
2004-12,7095,4.12
2005-01,7718,4.03
2005-02,6708,4.11
2005-03,7799,4.06
2005-04,6730,4.14
2005-05,7020,4.04
2005-06,7765,4.11
2005-07,7431,4.16
2005-08,9264,4.19
2005-09,8807,4.24
2005-10,8599,4.19
2005-11,8254,4.08
2005-12,8218,4.07
2006-01,8604,4.12
2006-02,7681,4.24
2006-03,9728,4.26
2006-04,3901,4.11
2006-05,7295,4.12
2006-06,6780,4.19
2006-07,7251,4.21
2006-08,7102,4.21
2006-09,4829,4.17
2006-10,4819,4.17
2006-11,7513,4.3
2006-12,5574,4.1
2007-01,13799,4.42
2007-02,7073,4.25
2007-03,9556,4.29
2007-04,6618,4.2
2007-05,10083,4.3
2007-06,7641,4.27
2007-07,8015,4.31
2007-08,7783,4.26
2007-09,7154,4.27
2007-10,7743,4.24
2007-11,7713,4.25
2007-12,8617,4.28
2008-01,10054,4.3
2008-02,8078,4.28
2008-03,8369,4.2
2008-04,8695,4.24
2008-05,8113,4.21
2008-06,8049,4.17
2008-07,7539,4.2
2008-08,9670,4.0
2008-09,7745,4.2
2008-10,7820,4.23
2008-11,8088,4.17
2008-12,9566,4.17
2009-01,12008,4.28
2009-02,8240,4.26
2009-03,8343,4.2
2009-04,8233,4.22
2009-05,8686,4.22
2009-06,8623,4.21
2009-07,7531,4.17
2009-08,8171,4.19
2009-09,10381,4.19
2009-10,10278,4.16
2009-11,10251,4.17
2009-12,11961,4.22
2010-01,11206,4.2
2010-02,11320,4.26
2010-03,10731,4.17
2010-04,9564,4.16
2010-05,8988,4.19
2010-06,9043,4.18
2010-07,10142,4.2
2010-08,10012,4.15
2010-09,11037,4.13
2010-10,11720,4.13
2010-11,12096,4.14
2010-12,13970,4.18
2011-01,16794,4.2
2011-02,11981,4.18
2011-03,16008,4.09
2011-04,15520,4.06
2011-05,14342,4.07
2011-06,13996,4.1
2011-07,15932,4.05
2011-08,16131,4.13
2011-09,18476,4.02
2011-10,18903,4.16
2011-11,20597,4.04
2011-12,29404,4.18
2012-01,45286,4.26
2012-02,33866,4.2
2012-03,35804,4.16
2012-04,38359,4.24
2012-05,37769,4.21
2012-06,40376,4.21
2012-07,35942,4.16
2012-08,33838,4.17
2012-09,55161,4.22
2012-10,57102,4.23
2012-11,71738,4.27
2012-12,130073,4.32
2013-01,159128,4.36
2013-02,123493,4.38
2013-03,125107,4.37
2013-04,106037,4.36
2013-05,108126,4.32
2013-06,112195,4.31
2013-07,115978,4.32
2013-08,114201,4.33
2013-09,96855,4.33
2013-10,108488,4.32
2013-11,105238,4.31
2013-12,153626,4.31
2014-01,205013,4.31
2014-02,160632,4.34
2014-03,171129,4.33
2014-04,142503,4.32
2014-05,130234,4.33
2014-06,139342,4.33
2014-07,194169,4.33
2014-08,189725,4.34
2014-09,164403,4.34
2014-10,185743,4.34
2014-11,185672,4.35
2014-12,241337,4.38
2015-01,199416,4.39
2015-02,189342,4.4
2015-03,231691,4.37
2015-04,183723,4.32
2015-05,170509,4.31
2015-06,163144,4.36
2015-07,179042,4.37
2015-08,169522,4.34
