product_id,product_title,sample_review_count,average_rating,total_helpful_votes,average_helpfulness
B00FAPF5U0,Candy Crush Saga,7289,4.4,9575,0.452
B00E8KLWB4,The Secret Society® - Hidden Mystery,5943,4.09,4625,0.846
B00DR0PDNE,Google Chromecast HDMI Streaming Media Player,5110,4.02,2694,0.448
B00992CF6W,Minecraft,4974,4.54,63987,0.711
B006LSZECO,Gone Girl: A Novel,4721,3.9,1011,0.31
B009UX2YAC,Subway Surfers,4638,4.65,30602,0.775
B005ZOBNOI,The Fault in Our Stars,4387,4.71,1061,0.851
B00QW8TYWO,Crossy Road,3992,4.77,3894,0.568
B00AREIAI8,My Horse,3877,4.62,6247,0.765
B00L9B7IKE,The Girl on the Train: A Novel,3840,4.06,1183,0.498
B00DJFIMW6,Minion Rush: Despicable Me Official Game,3692,4.46,18162,0.675
B0054JZC6E,101-in-1 Games,3687,4.34,252,0.726
B00I8Q77Y0,Flappy Wings (not Flappy Bird),2985,4.47,1659,0.577
B007J4T2G8,"Fifty Shades of Grey (Fifty Shades, Book 1)",2915,3.68,4602,0.313
B0063IH60K,Solitaire,2732,4.43,879,0.572
B00BAXFECK,The Goldfinch: A Novel (Pulitzer Prize for Fiction),2659,3.7,1991,0.696
B00DUGCLY4,Guess The Emoji,2556,4.48,599,0.781
B002MQYOFW,"The Hunger Games (Hunger Games Trilogy, Book 1)",2528,4.7,1438,0.261
B00CWY76CC,Can You Escape,2353,4.43,988,0.599
B0086700CM,Temple Run,2272,4.55,7649,0.469
